File Name,Total Frames,Total Objects,Good Objects,Multiple Objects,No Objects,V measure score,Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K)
log46_1537296115948908_scene-0636.csv,38,74,41,21,12,0.8733157894736842,0.9662631578947369,0.04244736842105263,0.5554210526315789,0.8494999999999999,0.16628947368421051,0.6792368421052631
log46_1537296175899772_scene-0637.csv,37,377,214,68,95,0.8751621621621621,0.8505945945945946,0.33913513513513516,2.122864864864865,0.9106216216216217,0.18262162162162163,1.9661891891891892
log46_1537296195898137_scene-0638.csv,40,240,127,70,43,0.8597499999999998,0.8828250000000001,0.199025,1.56455,0.8534499999999998,0.27042499999999997,1.6361250000000003
log47_1537296324399498_scene-0639.csv,36,122,76,26,20,0.8995555555555556,0.9468055555555553,0.06669444444444445,1.0948611111111108,0.8625277777777778,0.19261111111111112,1.2207222222222223
log47_1537296344400070_scene-0640.csv,39,178,89,54,35,0.8278717948717946,0.9347435897435897,0.10017948717948719,1.2854615384615384,0.7602564102564104,0.36546153846153845,1.5508205128205128
log47_1537296364298903_scene-0641.csv,39,350,184,50,116,0.8651794871794871,0.8292307692307693,0.36387179487179483,1.9926666666666666,0.9209487179487181,0.15576923076923074,1.784615384615385
log47_1537296384300067_scene-0642.csv,40,359,167,59,133,0.8385,0.784775,0.46679999999999994,1.9916250000000002,0.9179250000000001,0.144225,1.6691500000000006
log47_1537296404299502_scene-0643.csv,39,371,186,53,132,0.8426410256410256,0.78225641025641,0.44605128205128197,2.0856410256410265,0.9353846153846155,0.1245128205128205,1.7639487179487183
log47_1537296424399607_scene-0644.csv,39,253,88,110,55,0.7826410256410257,0.8870000000000001,0.1843333333333333,1.5978974358974365,0.7329230769230768,0.5119743589743592,1.9255384615384616
log47_1537296444299553_scene-0645.csv,40,295,142,80,73,0.840325,0.8520000000000001,0.26755,1.8220000000000003,0.8481500000000001,0.289875,1.8443499999999997
log47_1537296464399164_scene-0646.csv,38,296,126,66,104,0.7764210526315791,0.752763157894737,0.4653421052631578,1.8309473684210529,0.8255526315789474,0.2884210526315789,1.6541315789473685
log47_1537296484300175_scene-0647.csv,40,243,117,52,74,0.8052750000000002,0.7913999999999998,0.33427500000000004,1.6199499999999998,0.8459,0.24145,1.5270999999999997
log47_1537296504299061_scene-0648.csv,40,141,63,38,40,0.74425,0.84235,0.18242500000000003,1.0463,0.7621499999999998,0.355075,1.2189999999999999
log47_1537296524299089_scene-0649.csv,40,18,8,5,5,0.9171250000000001,1.0,0.0,0.05197499999999999,0.913025,0.06965000000000002,0.12162500000000001
log47_1537296601299929_scene-0650.csv,37,156,98,20,38,0.9043783783783784,0.8935405405405408,0.14272972972972972,1.2472702702702703,0.9244594594594594,0.10078378378378379,1.205405405405405
log47_1537296641299411_scene-0651.csv,40,287,148,57,82,0.8605,0.8459999999999999,0.283525,1.7607,0.8848750000000003,0.197075,1.674175
log47_1537296685299031_scene-0652.csv,38,130,60,4,66,0.866605263157895,0.8143684210526319,0.2511052631578947,1.1018421052631577,0.9582368421052633,0.038789473684210526,0.8894736842105262
log48_1535573054898053_scene-0695.csv,38,223,118,49,56,0.839078947368421,0.874421052631579,0.1749736842105263,1.454421052631579,0.8194210526315789,0.2809473684210526,1.5604736842105262
log48_1535573074898623_scene-0696.csv,35,211,104,23,84,0.7452000000000001,0.6767714285714284,0.5438571428571428,1.6550285714285713,0.9091428571428571,0.1334857142857143,1.2446857142857142
log48_1535573094900873_scene-0697.csv,40,285,150,21,114,0.7472249999999999,0.6588999999999999,0.5869249999999997,1.8027500000000003,0.9511750000000001,0.0704,1.2861499999999997
log48_1535573114899775_scene-0698.csv,40,574,318,172,84,0.8594749999999998,0.8815500000000001,0.2904,2.4389000000000007,0.8411250000000001,0.4030500000000001,2.5514249999999996
log48_1535573154950151_scene-0700.csv,37,384,173,106,105,0.8496756756756755,0.8332162162162162,0.369054054054054,2.1851081081081087,0.8706486486486488,0.2747027027027027,2.090783783783784
log48_1535573174899291_scene-0701.csv,40,366,145,49,172,0.770825,0.6916500000000001,0.6546749999999999,2.069025,0.8949499999999999,0.16535,1.5794499999999991
log48_1535573214898812_scene-0703.csv,37,199,87,78,34,0.8202972972972973,0.9655675675675676,0.05343243243243243,1.4124864864864863,0.7398378378378379,0.4625135135135134,1.8215405405405403
log48_1535573248149977_scene-0704.csv,38,345,138,74,133,0.8215,0.7875789473684212,0.41726315789473684,1.9431578947368422,0.8683684210526317,0.2305526315789474,1.7563421052631583
log48_1535573288899297_scene-0705.csv,35,213,109,24,80,0.8584571428571428,0.8426285714285715,0.23991428571428572,1.4992571428571428,0.9068,0.14942857142857144,1.4087999999999998
log48_1535573320897432_scene-0706.csv,37,501,343,70,88,0.8799729729729727,0.836054054054054,0.39924324324324323,2.4411351351351342,0.9327297297297298,0.1460810810810811,2.1880540540540534
log48_1535573340898006_scene-0707.csv,39,301,203,43,55,0.885153846153846,0.9023076923076923,0.20110256410256408,1.844538461538462,0.8884615384615384,0.21456410256410258,1.858102564102564
log48_1535573360900236_scene-0708.csv,39,374,236,60,78,0.8642307692307694,0.8521282051282054,0.2941282051282051,2.131435897435898,0.9325384615384615,0.14582051282051278,1.9831538461538463
log48_1535573386899348_scene-0709.csv,39,530,284,100,146,0.8414871794871794,0.7995384615384616,0.4807435897435897,2.4066153846153853,0.8956410256410254,0.22428205128205136,2.1503076923076923
log48_1535573407049201_scene-0710.csv,40,518,306,29,183,0.85175,0.783775,0.5092749999999999,2.3918499999999994,0.9454,0.11307500000000004,1.995825
log48_1535573469899272_scene-0711.csv,38,506,289,52,165,0.8321578947368424,0.781184210526316,0.5447105263157893,2.374289473684211,0.9115263157894734,0.17542105263157895,2.005105263157895
log48_1535573490048018_scene-0712.csv,39,424,250,58,116,0.8369487179487177,0.8123846153846154,0.3941282051282051,2.089000000000001,0.8855128205128204,0.21576923076923074,1.9105641025641025
log48_1535573510049699_scene-0713.csv,39,256,123,28,105,0.7812051282051282,0.7753333333333333,0.42315384615384605,1.6511282051282052,0.8472051282051283,0.23015384615384618,1.4582564102564102
log48_1535573529899863_scene-0714.csv,40,388,158,47,183,0.7791249999999997,0.704725,0.6325999999999999,2.0442999999999993,0.91005,0.13570000000000002,1.5473249999999998
log48_1535573549898783_scene-0715.csv,39,203,87,31,85,0.8253076923076924,0.8075897435897434,0.26617948717948714,1.3534871794871794,0.8620000000000001,0.18310256410256415,1.2705641025641026
log48_1535573569898279_scene-0716.csv,40,309,144,23,142,0.7801750000000001,0.7011999999999999,0.5762,1.8714,0.9409000000000001,0.091525,1.386875
