frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
270,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
271,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.693,0.693,0,0
272,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.673,0.673,0,0
273,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.693,0.693,0,0
274,2,0,2,0,0,0.706,1.000,0.000,0.662,0.545,0.551,1.213,0,0
275,2,1,1,0,0,0.785,1.000,0.000,0.666,0.646,0.365,1.032,0,0
276,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
277,2,1,1,0,0,0.785,1.000,0.000,0.666,0.646,0.365,1.032,0,0
278,2,1,1,0,0,0.813,1.000,0.000,0.693,0.685,0.318,1.011,0,0
279,2,1,1,0,0,0.828,1.000,0.000,0.677,0.707,0.281,0.959,0,0
280,2,1,1,0,0,0.857,1.000,0.000,0.673,0.750,0.225,0.898,0,0
281,2,2,0,0,0,1.000,1.000,0.000,0.685,1.000,0.000,0.685,0,0
282,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
283,2,2,0,0,0,1.000,1.000,0.000,0.662,1.000,0.000,0.662,0,0
284,2,2,0,0,0,1.000,1.000,0.000,0.574,1.000,0.000,0.574,0,0
285,2,1,1,0,0,0.859,1.000,0.000,0.576,0.752,0.190,0.766,0,0
286,2,2,0,0,0,1.000,1.000,0.000,0.524,1.000,0.000,0.524,0,0
287,2,2,0,0,0,1.000,1.000,0.000,0.691,1.000,0.000,0.691,0,0
288,2,1,1,0,0,0.841,1.000,0.000,0.530,0.726,0.200,0.730,0,0
289,2,2,0,0,0,1.000,1.000,0.000,0.652,1.000,0.000,0.652,0,0
290,2,2,0,0,0,1.000,1.000,0.000,0.666,1.000,0.000,0.666,0,0
291,2,1,1,0,0,0.857,1.000,0.000,0.606,0.749,0.202,0.808,0,0
292,2,2,0,0,0,1.000,1.000,0.000,0.576,1.000,0.000,0.576,0,0
293,2,2,0,0,0,1.000,1.000,0.000,0.562,1.000,0.000,0.562,0,0
294,2,2,0,0,0,1.000,1.000,0.000,0.691,1.000,0.000,0.691,0,0
295,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
296,2,2,0,0,0,1.000,1.000,0.000,0.649,1.000,0.000,0.649,0,0
297,2,2,0,0,0,1.000,1.000,0.000,0.624,1.000,0.000,0.624,0,0
298,2,1,1,0,0,0.895,1.000,0.000,0.693,0.810,0.163,0.856,0,0
299,2,2,0,0,0,1.000,1.000,0.000,0.681,1.000,0.000,0.681,0,0
300,2,2,0,0,0,1.000,1.000,0.000,0.693,1.000,0.000,0.693,0,0
301,2,2,0,0,0,1.000,1.000,0.000,0.692,1.000,0.000,0.692,0,0
302,2,1,1,0,0,0.899,1.000,0.000,0.685,0.817,0.153,0.838,0,0
303,2,2,0,0,0,1.000,1.000,0.000,0.690,1.000,0.000,0.690,0,0
304,2,2,0,0,0,1.000,1.000,0.000,0.688,1.000,0.000,0.688,0,0
305,2,2,0,0,0,1.000,1.000,0.000,0.692,1.000,0.000,0.692,0,0
306,2,1,1,0,0,0.912,1.000,0.000,0.653,0.839,0.126,0.779,0,0
307,2,2,0,0,0,1.000,1.000,0.000,0.677,1.000,0.000,0.677,0,0
308,2,2,0,0,0,1.000,1.000,0.000,0.681,1.000,0.000,0.681,0,0
