frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
347,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
348,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
349,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
350,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
351,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
352,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
353,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
354,0,-nan,0,0,0,4,0,-nan,0,0,0,4
355,0,-nan,0,0,0,4,0,-nan,0,0,0,4
356,0,-nan,0,0,0,4,0,-nan,0,0,0,4
357,0,-nan,0,0,0,4,0,-nan,0,0,0,4
358,0,-nan,0,0,0,4,0,-nan,0,0,0,4
359,0,-nan,0,0,0,4,0,-nan,0,0,0,4
360,0,-nan,0,0,0,3,0,-nan,0,0,0,3
361,0,-nan,0,0,0,4,0,-nan,0,0,0,4
362,0,-nan,0,0,0,5,0,-nan,0,0,0,5
363,0,-nan,0,0,0,5,0,-nan,0,0,0,5
364,0,-nan,0,0,0,5,0,-nan,0,0,0,5
365,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
366,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
367,0,-nan,0,0,0,5,0,-nan,0,0,0,5
368,0,-nan,0,0,0,5,0,-nan,0,0,0,5
369,0,-nan,0,0,0,4,0,-nan,0,0,0,4
370,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
371,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
372,0,-nan,0,0,0,5,0,-nan,0,0,0,5
373,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
374,0,-nan,0,0,0,4,0,-nan,0,0,0,4
375,0,-nan,0,0,0,4,0,-nan,0,0,0,4
376,0,-nan,0,0,0,5,0,-nan,0,0,0,5
377,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
378,0,-nan,0,0,0,5,0,-nan,0,0,0,5
379,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
380,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
381,0,-nan,0,0,0,4,0,-nan,0,0,0,4
382,0,-nan,0,0,0,4,0,-nan,0,0,0,4
383,0,-nan,0,0,0,4,0,-nan,0,0,0,4
384,0,-nan,0,0,0,4,0,-nan,0,0,0,4
385,0,-nan,0,0,0,4,0,-nan,0,0,0,4
386,0,-nan,0,0,0,4,0,-nan,0,0,0,4
387,0,-nan,0,0,0,4,0,-nan,0,0,0,4
388,0,-nan,0,0,0,4,0,-nan,0,0,0,4
389,0,-nan,0,0,0,4,0,-nan,0,0,0,4
390,0,-nan,0,0,0,3,0,-nan,0,0,0,3
391,0,-nan,0,0,0,3,0,-nan,0,0,0,3
392,0,-nan,0,0,0,3,0,-nan,0,0,0,3
393,0,-nan,0,0,0,4,0,-nan,0,0,0,4
394,0,-nan,0,0,0,4,0,-nan,0,0,0,4
395,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
396,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
397,0,-nan,0,0,0,4,0,-nan,0,0,0,4
398,0,-nan,0,0,0,5,0,-nan,0,0,0,5
399,0,-nan,0,0,0,5,0,-nan,0,0,0,5
400,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
401,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
402,0,-nan,0,0,0,5,0,-nan,0,0,0,5
403,0,-nan,0,0,0,5,0,-nan,0,0,0,5
404,0,-nan,0,0,0,4,0,-nan,0,0,0,4
405,0.571,1,0.4,2,0,3,0.571,1,0.4,2,0,3
406,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
407,0,-nan,0,0,0,4,0,-nan,0,0,0,4
408,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
409,0,-nan,0,0,0,5,0,-nan,0,0,0,5
410,0,-nan,0,0,0,5,0,-nan,0,0,0,5
411,0,-nan,0,0,0,4,0,-nan,0,0,0,4
412,0,-nan,0,0,0,4,0,-nan,0,0,0,4
413,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
414,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
415,0,-nan,0,0,0,5,0,-nan,0,0,0,5
416,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
417,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
418,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
419,0,-nan,0,0,0,5,0,-nan,0,0,0,5
420,0,-nan,0,0,0,3,0,-nan,0,0,0,3
421,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
422,0,-nan,0,0,0,2,0,-nan,0,0,0,2
423,0,-nan,0,0,0,3,0,-nan,0,0,0,3
424,0,-nan,0,0,0,2,0,-nan,0,0,0,2
425,0,-nan,0,0,0,1,0,-nan,0,0,0,1
426,0,-nan,0,0,0,2,0,-nan,0,0,0,2
427,0,-nan,0,0,0,2,0,-nan,0,0,0,2
428,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
429,0,-nan,0,0,0,3,0,-nan,0,0,0,3
430,0.5,1,0.333,1,0,2,0,0,0,0,1,3
431,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
432,0,-nan,0,0,0,3,0,-nan,0,0,0,3
433,0.667,0.667,0.667,2,1,1,0.333,0.333,0.333,1,2,2
434,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
435,0,-nan,0,0,0,3,0,-nan,0,0,0,3
436,0,-nan,0,0,0,2,0,-nan,0,0,0,2
437,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
